사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202509,7호선,광명사거리,203,2,20125,6285,34889,12974,86254,17245,89018,28560,48868,24894,32972,25833,30441,28531,32991,32619,32550,33168,30652,32316,33671,38929,39929,44459,38445,56774,33769,85030,22235,62619,15107,35042,11643,31164,8542,25335,3521,14645,765,4394,0,5,0,0,0,0,20251003
202509,7호선,군자(능동),30,3,9324,780,15725,6084,39220,10017,60844,28676,39549,19838,22992,12981,20142,13121,20883,13619,20847,15295,19763,16519,20566,20162,22651,23107,30546,30889,35389,46134,22535,35114,18376,21581,17129,19141,13483,16688,7273,9761,1379,3470,0,58,0,0,0,0,20251003
202509,7호선,남구로,147,4,17530,1337,16414,7935,33371,35729,36456,98299,24042,46284,17109,19799,15483,15478,17129,15922,16228,16192,15480,15171,17673,18726,21994,23512,48535,33307,74413,32471,31167,23503,15995,16554,10891,18409,7131,15035,3021,8050,520,1966,0,0,0,0,0,0,20251003
202509,7호선,남성,45,1,6530,911,15605,3703,41741,7254,57269,18858,35972,13431,20804,12011,17533,12703,18405,12677,17552,13879,15247,15130,15207,19089,16857,22631,15952,30666,16585,46109,10025,33387,9107,21582,7715,18809,5199,17039,2256,9878,420,3084,0,0,0,0,0,0,20251003
202509,7호선,내방,9,0,2882,2207,8679,16651,20493,28975,30358,79730,22685,46974,17112,22320,16917,17732,18109,17777,20374,19298,21386,18035,23158,18115,31745,20557,50787,27123,69252,35115,28102,21935,19880,14416,18799,12561,12492,10019,4028,6267,749,2814,1,187,0,0,0,0,20251003
202509,7호선,노원,59,2,7810,2533,16338,8709,41441,17464,45374,50614,30067,46715,29413,33587,32126,33405,35436,34267,35658,39286,37796,38200,41992,40205,45436,44474,45132,48876,47023,66814,31742,51086,27670,26483,23613,21895,21244,18303,8164,12075,1595,3807,0,0,0,0,0,0,20251003
202509,7호선,논현,55,1,2864,1430,4742,17737,9670,44983,15136,110326,12780,95819,12196,38188,14548,24600,16785,24135,18694,25610,23835,23812,28343,22230,36527,25164,68171,30568,106025,36867,59216,20458,38829,12361,37741,10433,34027,7890,16702,5319,3065,2539,0,0,0,0,0,0,20251003
202509,7호선,대림(구로구청),81,1,10817,974,8820,4005,18286,8440,23408,19752,17998,15305,13392,18532,13950,17960,15341,15952,16474,16159,17478,15485,18344,17118,18990,18338,20345,23354,20145,23445,12387,16039,9474,11752,7819,13880,6430,10802,3241,5544,473,1374,1,0,0,0,0,0,20251003
202509,7호선,도봉산,116,0,6298,1173,19678,5301,53717,9853,41353,16302,22293,16570,14104,14064,12779,11525,12876,12661,11761,13368,11442,13006,13070,15782,16183,19613,13931,24960,12659,38086,6304,39494,4028,23355,3370,18970,2464,16908,947,10342,173,4527,3,67,0,0,0,0,20251003
202509,7호선,마들,8,0,12274,1256,29040,3256,70401,8477,67373,13155,34983,10693,23764,10623,21555,12192,22358,14318,18870,15550,16260,16858,17304,21460,16599,26648,14860,33335,13206,52851,8438,49723,5766,27086,4268,23611,3216,21170,1241,12751,193,3957,0,0,0,0,0,0,20251003
202509,7호선,먹골,66,1,8116,657,14435,3574,36160,6279,45991,16499,25782,11086,18456,9771,16330,11040,16573,12309,16323,13307,14486,13950,13980,17970,15184,22206,15969,27417,17599,40915,11072,32160,8118,20467,6418,17753,4606,15484,2148,9771,408,2851,0,75,0,0,0,0,20251003
202509,7호선,면목,77,0,13745,861,25445,5359,58858,9914,72390,31900,41238,18235,26504,15019,22874,14823,23753,18681,22662,18744,20315,18953,22297,25636,25847,32576,22188,38068,23507,54986,15752,47397,9495,28612,7602,25011,5143,23725,2441,12461,381,4374,1,1,0,0,0,0,20251003
202509,7호선,반포,19,0,1063,1009,3753,13755,11270,14143,15684,21333,11286,17893,8342,11566,8588,11565,9696,11182,10336,11017,11668,10362,14810,10787,20400,11725,21014,12657,20026,14752,13542,9399,10992,6557,10357,5576,7689,5285,2505,2893,286,965,0,0,0,0,0,0,20251003
202509,7호선,보라매,16,0,3939,969,6621,3263,18496,9649,26177,22191,15079,10514,9531,8349,9166,8671,9807,9449,10446,9419,10331,8859,10918,10242,12452,12422,14470,17282,16919,25482,7962,18438,7324,11336,6324,10026,5499,8715,2127,5398,317,2135,0,32,0,0,0,0,20251003
202509,7호선,사가정,45,1,12618,1384,25009,7940,58946,12916,72475,29384,43554,18879,27714,16288,23764,16698,25409,18902,23219,20198,21668,21479,22230,28547,24274,33679,25281,44470,25066,66865,17928,52759,12227,31012,9678,28079,7677,24255,3912,12883,719,4411,0,0,0,0,0,0,20251003
202509,7호선,상도,13,1,5661,1862,14317,6448,38495,9589,47689,28677,30039,20906,19294,21988,17947,18183,19316,18220,19634,17077,18875,19316,20941,19043,25018,22746,28940,31436,27444,46928,15110,30782,12916,20808,14350,19113,9777,18005,5240,10913,1254,3431,0,0,0,0,0,0,20251003
202509,7호선,상봉,460,17,10756,1675,21756,7376,56748,13224,79023,28963,39970,21507,24774,17337,23075,17744,25269,19521,24265,21632,23518,21844,24730,25492,28456,31682,31345,43931,32896,69435,22948,58198,18377,34266,17449,27056,13356,26432,7049,16228,1478,7271,0,12,0,0,0,0,20251003
202509,7호선,수락산,65,1,10791,972,22527,5676,49767,9007,49279,17400,31064,15360,21976,14960,20381,16146,21429,17961,20735,16417,19992,16954,21105,20733,20668,25977,19764,31708,19192,46466,11746,42810,8106,25939,6385,20752,4105,18782,2157,11327,320,4128,0,0,0,0,0,0,20251003
202509,7호선,숭실대입구(살피재),30,0,6468,902,15104,4084,41049,8785,51276,40454,34140,25072,21994,34585,20731,25154,21119,18724,23559,24931,26362,22180,25267,22834,35880,27430,38546,36459,28339,52662,18142,37021,15961,24011,16586,21898,13705,21060,8346,13426,1949,4343,0,0,0,0,0,0,20251003
202509,7호선,신대방삼거리,83,1,9880,793,20674,4683,56024,9640,79031,20027,44686,18057,26342,14385,23240,14646,25611,16768,22353,18108,20542,19431,19975,23685,22187,29065,20960,40144,21734,64199,13196,46944,11137,29057,9600,26203,6935,22625,3216,14062,702,5291,0,40,0,0,0,0,20251003
202509,7호선,신풍,202,4,13636,1163,17130,5895,44207,12650,55062,22108,31231,14579,18608,12479,16926,12284,18122,13707,16950,14461,15911,14455,17058,18534,19734,22484,19182,32038,19905,45267,12017,31883,8874,19749,7332,18552,5645,15665,2317,8440,463,2864,0,419,0,0,0,0,20251003
202509,7호선,어린이대공원(세종대),21,0,3341,1176,8223,7691,21944,19297,36378,85188,25732,51831,18601,53802,21561,42094,23067,28789,30189,37532,34608,29903,37321,24008,51532,24944,66175,29647,58240,40732,33082,27074,27167,18143,25279,16279,19978,16282,11027,11417,2321,3442,0,16,0,0,0,0,20251003
202509,7호선,온수(성공회대입구),315,2,9783,808,21143,3667,47796,12302,53672,22414,24134,15836,13960,7816,12096,9151,13719,9200,12410,10844,11197,10214,13610,12871,18491,15929,19394,23226,16127,40721,7223,28912,5239,18875,4778,14821,3137,13425,1646,8279,317,4555,1,1092,0,0,0,0,20251003
202509,7호선,용마산(용마폭포공원),18,1,5491,710,11283,2297,24483,4551,29744,12062,16204,6033,10092,5406,8802,5114,10154,6452,8281,8674,6701,7266,7559,9709,8172,11874,9043,15397,8225,22866,5284,18439,3167,11412,2822,10776,1677,9445,994,5769,189,1981,0,0,0,0,0,0,20251003
